Id,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2019-324,27-Apr-19,Mississippi,Jackson,700 block of Monterey St,1,3,N/A
2019-325,27-Apr-19,California,Poway,16934 Chabad Way,1,3,N/A
2019-326,27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,N/A
2019-327,21-Apr-19,Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,N/A
2019-328,20-Apr-19,Tennessee,Memphis,761 Chestnut Ave,0,5,N/A
2019-329,20-Apr-19,Texas,Corpus Christi,2900 block of Sunrise Ave,0,4,N/A
2019-330,19-Apr-19,Kansas,Wichita,1628 S George Washington Blvd,0,4,N/A
2019-331,18-Apr-19,Kentucky,Louisville,4000 block of Bells Ln,0,4,N/A
2019-332,16-Apr-19,Maryland,Germantown,18700 block of Curry Powder Ln,1,3,N/A
2019-333,14-Apr-19,California,Stockton,2539 E Main St,0,4,N/A
2019-334,14-Apr-19,Florida,Miami,NW 19th Ave and 60th St,2,2,N/A
2019-335,14-Apr-19,California,Vallejo,100 block of Princeton Ave,1,3,N/A
2019-336,13-Apr-19,California,Moreno Valley,23500 block of Alessandro Blvd,0,4,N/A
2019-337,12-Apr-19,Illinois,Carbondale,119 N Washington St,0,4,N/A
2019-338,11-Apr-19,Maryland,Baltimore,2200 block of Ruskin Ave,1,3,N/A
2019-339,11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,N/A
2019-340,11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,N/A
2019-341,9-Apr-19,Missouri,Kansas City,5339 Michigan Ave,1,3,N/A
2019-342,7-Apr-19,Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,N/A
2019-343,7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,N/A
2019-344,7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,N/A
2019-345,7-Apr-19,Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,N/A
2019-346,6-Apr-19,Florida,Tallahassee,500 block of Kissimmee St,0,4,N/A
2019-347,6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,N/A
2019-348,4-Apr-19,Florida,Panama City,100 block of Allen Ave,1,3,N/A
2019-349,4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,N/A
2019-350,2-Apr-19,Mississippi,Hermanville,13195 MS 18,0,4,N/A
2019-351,2-Apr-19,Kentucky,Covington,300 block of 13th St,0,5,N/A
2019-352,31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,N/A
2019-353,31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,N/A
2019-354,31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,N/A
2019-355,28-Mar-19,Maryland,Baltimore,6200 block of Boston St,0,4,N/A
2019-356,25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,N/A
2019-357,24-Mar-19,California,San Francisco,1300 Fillmore St,1,5,N/A
2019-358,24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,N/A
2019-359,19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,N/A
2019-360,17-Mar-19,Georgia,Augusta,900 block of Broad St,0,4,N/A
2019-361,17-Mar-19,Georgia,Rochelle,Dennis St,1,3,N/A
2019-362,17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,N/A
2019-363,16-Mar-19,New Jersey,Camden,619 Ferry Ave,1,3,N/A
2019-364,15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,N/A
2019-365,14-Mar-19,Montana,Missoula,5145 Airway Blvd,1,3,N/A
2019-366,11-Mar-19,New Jersey,Paterson,291 12th Ave,0,4,N/A
2019-367,10-Mar-19,Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,N/A
2019-368,10-Mar-19,Colorado,Denver,15th St and Market St,1,4,N/A
2019-369,3-Mar-19,California,Oakland,316 14th St,0,4,N/A
2019-370,3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,N/A
2019-371,2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,N/A
2019-372,28-Feb-19,California,Oakland,9755 Edes Ave,1,3,N/A
2019-373,22-Feb-19,Alabama,Birmingham,1100 block of Carnation Dr,2,2,N/A
2019-374,21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,N/A
2019-375,21-Feb-19,Kentucky,Elizabethtown,600 N Miles St,2,2,N/A
2019-376,21-Feb-19,Texas,Houston,12800 block of Eastbrook Dr,2,2,N/A
2019-377,20-Feb-19,Tennessee,Covington,529 N College St,0,4,N/A
2019-378,17-Feb-19,Texas,Henderson,504 S Van Buren St,2,2,N/A
2019-379,17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,N/A
2019-380,17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,N/A
2019-381,16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,N/A
2019-382,15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,N/A
2019-383,11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,N/A
2019-384,9-Feb-19,Virginia,Petersburg,109 Perry St,0,4,N/A
2019-385,6-Feb-19,New York,Brooklyn,1778 Fulton St,1,3,N/A
2019-386,5-Feb-19,Texas,San Antonio,538 Hot Wells Blvd,2,2,N/A
2019-387,4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,N/A
2019-388,4-Feb-19,Louisiana,Baton Rouge,4000 block of Topeka St,0,4,N/A
2019-389,3-Feb-19,Illinois,Chicago,938 E 75th St,2,5,N/A
2019-390,3-Feb-19,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,N/A
2019-391,1-Feb-19,California,San Diego,6800 block of Springfield St,0,4,N/A
2019-392,28-Jan-19,Texas,Houston,7815 Harding St,2,5,N/A
2019-393,27-Jan-19,Alabama,Birmingham,Avenue O and Warrior Rd,0,5,N/A
2019-394,26-Jan-19,Georgia,Albany,300 block of W Roosevelt,0,4,N/A
2019-395,26-Jan-19,Louisiana,Gonzales,42350 Church Point Rd,5,0,N/A
2019-396,26-Jan-19,Indiana,Indianapolis,2957 N Sherman Dr,0,5,N/A
2019-397,26-Jan-19,New Jersey,Newark,612 Bergen St,1,3,N/A
2019-398,24-Jan-19,Pennsylvania,State College,1450 S Atherton St,4,1,N/A
2019-399,24-Jan-19,Georgia,Rockmart,319 Williamson St,4,1,N/A
2019-400,23-Jan-19,Florida,Sebring,1901 US 27 S,5,0,N/A
2019-401,20-Jan-19,Florida,Miami,26133 SW 139th Ave,0,4,N/A
2019-402,19-Jan-19,Pennsylvania,Lebanon,1140 Church St,0,4,N/A
2019-403,19-Jan-19,South Carolina,Gaffney,1435 Wilcox Ave,1,4,N/A
2019-404,19-Jan-19,Illinois,Chicago,4400 block of W Madison St,0,4,N/A
2019-405,19-Jan-19,Florida,Jacksonville,11445 Brian Lakes Drive,3,2,N/A
2019-406,19-Jan-19,Texas,Houston,7041 Sherman St,3,2,N/A
2019-407,17-Jan-19,Kentucky,Owensboro,940 Audubon Ave,3,1,N/A
2019-408,16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,N/A
2019-409,16-Jan-19,California,Palmdale,Ranch Center Dr and 40th St W,3,1,N/A
2019-410,15-Jan-19,Arkansas,Little Rock,5420 Baseline Rd,1,4,N/A
2019-411,13-Jan-19,Arizona,Phoenix,2445 E Van Buren St,1,5,N/A
2019-412,6-Jan-19,New Mexico,Roswell,1300 block of W College Blvd,0,4,N/A
2019-413,4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,N/A
2019-414,4-Jan-19,California,Torrance,22501 Hawthorne Blvd,3,4,N/A
2019-415,3-Jan-19,Arizona,Yuma,3800 block of E County 18½ St,1,3,N/A
2019-416,2-Jan-19,Arkansas,Jonesboro,3516 Galaxy St,1,3,N/A
2019-417,1-Jan-19,South Carolina,Columbia,1709 Decker Blvd,0,5,N/A
2019-418,1-Jan-19,Florida,Tallahassee,2020 W Pensacola St,0,5,N/A
